Diện tích (m²),Giá nhà (triệu đồng)
6000.0,30614.0
6008.016032064128,30266.080160320642
6016.032064128257,30667.160320641284
6024.048096192385,30258.240480961926
6032.064128256513,29612.320641282564
6040.080160320641,30890.400801603206
6048.09619238477,30073.48096192385
6056.112224448898,30294.56112224449
6064.128256513026,31160.641282565128
6072.144288577154,29957.72144288577
6080.160320641283,29759.801603206415
6088.176352705411,30050.881763527053
6096.192384769539,29837.961923847695
6104.208416833667,30046.042084168334
6112.224448897796,30352.12224448898
6120.240480961924,30450.20240480962
6128.256513026052,30922.28256513026
6136.272545090181,30690.362725450905
6144.288577154309,30829.442885771543
6152.304609218437,30424.523046092185
6160.320641282565,31609.603206412823
6168.336673346694,31194.68336673347
6176.352705410822,31389.763527054107
6184.36873747495,30701.84368737475
6192.384769539078,31776.92384769539
6200.400801603207,30753.004008016032
6208.416833667335,30596.084168336674
6216.432865731463,31385.164328657313
6224.448897795592,31663.244488977958
6232.46492985972,31808.3246492986
6240.480961923848,31876.40480961924
6248.496993987976,30714.484969939876
6256.513026052105,32130.565130260522
6264.529058116233,31588.645290581164
6272.545090180361,31476.725450901802
6280.561122244489,31194.805611222444
6288.5771543086175,31479.885771543086
6296.593186372746,31201.965931863728
6304.609218436874,31459.04609218437
6312.625250501002,31301.126252505008
6320.6412825651305,31874.206412825653
6328.6573146292585,31087.28657314629
6336.6733466933865,31201.366733466934
6344.689378757515,31179.44689378758
6352.705410821643,31166.527054108217
6360.7214428857715,31534.607214428856
6368.7374749498995,31748.687374749497
6376.753507014028,31531.767535070143
6384.769539078156,31996.84769539078
6392.785571142284,32408.927855711423
6400.801603206412,32046.00801603206
6408.817635270541,31678.088176352707
6416.833667334669,32497.16833667335
6424.849699398797,31841.248496993987
6432.865731462925,32279.328657314625
6440.881763527054,32407.40881763527
6448.897795591182,32042.488977955913
6456.91382765531,32131.56913827655
6464.929859719439,31812.649298597196
6472.945891783567,32084.729458917835
6480.961923847695,32940.80961923848
6488.977955911823,32961.88977955912
6496.993987975952,33311.96993987976
6505.01002004008,32947.0501002004
6513.026052104208,32764.13026052104
6521.042084168336,31972.210420841682
6529.058116232465,32544.290581162328
6537.074148296593,33335.37074148297
6545.090180360721,33290.450901803604
6553.106212424849,33577.531062124246
6561.122244488978,32831.61122244489
6569.138276553106,32745.69138276553
6577.154308617234,33248.77154308617
6585.170340681363,32911.85170340681
6593.186372745491,32647.931863727455
6601.202404809619,33636.0120240481
6609.218436873747,33391.09218436874
6617.234468937876,33281.17234468938
6625.250501002004,32922.25250501002
6633.266533066132,32550.332665330658
6641.28256513026,33030.4128256513
6649.298597194389,33797.49298597194
6657.314629258517,33772.57314629258
6665.330661322645,33061.653306613225
6673.346693386773,33892.73346693387
6681.362725450902,33825.81362725451
6689.37875751503,33541.89378757515
6697.394789579158,33612.97394789579
6705.410821643287,33424.054108216435
6713.426853707415,33430.13426853708
6721.442885771543,34302.21442885771
6729.458917835671,33612.29458917835
6737.4749498998,34010.374749499
6745.490981963928,33349.45490981964
6753.507014028056,34495.53507014028
6761.523046092184,33819.61523046092
6769.539078156313,34307.69539078156
6777.555110220441,34646.775551102204
6785.571142284569,33544.855711422846
6793.587174348697,34080.93587174348
6801.603206412826,34791.01603206413
6809.619238476954,33861.09619238477
6817.635270541082,33500.176352705406
6825.651302605211,34447.256513026055
6833.667334669339,33975.3366733467
6841.683366733467,34302.41683366733
6849.699398797595,34689.496993987974
6857.715430861724,33695.577154308616
6865.731462925852,34894.65731462926
6873.74749498998,34241.7374749499
6881.763527054108,34112.81763527054
6889.779559118237,34137.89779559118
6897.795591182365,34235.977955911825
6905.811623246493,34472.05811623247
6913.827655310621,34230.1382765531
6921.84368737475,34167.21843687375
6929.859719438878,35280.298597194385
6937.875751503006,35344.37875751503
6945.891783567135,34808.45891783567
6953.907815631263,34571.53907815631
6961.923847695391,34285.61923847695
6969.939879759519,35499.699398797595
6977.9559118236475,34564.77955911824
6985.9719438877755,34738.85971943888
6993.9879759519035,35668.93987975952
7002.0040080160325,35182.02004008016
7010.0200400801605,35578.100200400804
7018.0360721442885,35025.18036072144
7026.0521042084165,35570.26052104208
7034.0681362725445,34962.34068136272
7042.084168336673,34792.420841683364
7050.100200400801,35608.501002004006
7058.116232464929,35970.58116232465
7066.132264529058,35027.66132264529
7074.148296593186,34924.74148296593
7082.164328657314,35432.821643286574
7090.180360721442,36199.90180360721
7098.196392785571,35380.98196392786
7106.212424849699,36141.0621242485
7114.228456913827,35480.142284569134
7122.244488977956,36149.22244488978
7130.260521042084,36410.302605210425
7138.276553106212,35473.38276553106
7146.29258517034,35419.4629258517
7154.308617234468,35281.54308617234
7162.324649298597,36657.623246492985
7170.340681362725,35564.70340681363
7178.356713426853,35831.78356713427
7186.372745490982,35642.86372745491
7194.38877755511,36316.94388777555
7202.404809619238,36589.024048096195
7210.420841683366,35531.10420841683
7218.436873747495,36514.18436873748
7226.452905811623,36020.26452905811
7234.468937875751,35722.344689378755
7242.48496993988,36839.4248496994
7250.501002004008,35660.50501002004
7258.517034068136,36025.58517034068
7266.533066132264,36292.66533066132
7274.549098196392,37072.745490981964
7282.565130260521,36128.825651302606
7290.581162324649,36149.90581162325
7298.597194388777,36681.98597194388
7306.613226452906,36162.06613226453
7314.629258517034,37066.14629258517
7322.645290581162,37043.22645290581
7330.66132264529,36715.30661322645
7338.677354709419,36888.38677354709
7346.693386773547,36660.466933867734
7354.709418837675,37383.547094188376
7362.725450901804,36988.62725450902
7370.741482965932,36738.70741482966
7378.75751503006,37348.7875751503
7386.773547094188,36665.867735470936
7394.789579158316,36403.94789579158
7402.805611222445,37322.02805611223
7410.821643286573,37148.10821643286
7418.837675350701,36867.188376753504
7426.85370741483,37099.26853707415
7434.869739478958,37542.34869739479
7442.885771543086,37512.42885771543
7450.901803607214,37439.50901803607
7458.917835671343,38121.58917835671
7466.933867735471,37458.669338677355
7474.949899799599,38057.749498998
7482.965931863728,37923.82965931864
7490.981963927856,37606.90981963928
7498.997995991984,37485.98997995992
7507.014028056112,37483.07014028056
7515.03006012024,38408.1503006012
7523.046092184369,38427.23046092184
7531.062124248497,37350.31062124248
7539.078156312626,37858.390781563125
7547.094188376754,37720.47094188377
7555.110220440882,38350.55110220441
7563.12625250501,37805.63126252505
7571.142284569138,37235.71142284569
7579.158316633267,37734.791583166334
7587.174348697395,38530.871743486976
7595.190380761523,37997.95190380761
7603.206412825652,38757.03206412826
7611.22244488978,37527.112224448894
7619.238476953908,37803.192384769536
7627.254509018036,38933.27254509018
7635.270541082164,38195.35270541082
7643.2865731462925,37627.43286573146
